Price,Close,High,Low,Open,Volume
Ticker,BA,BA,BA,BA,BA
Date,,,,,
2010-01-04,43.77754592895508,43.941185026776395,42.702197765671855,43.419097532045335,6186700
2010-01-05,45.21134948730469,45.41394988179292,43.63728975031879,43.83209907956129,8867800
2010-01-06,46.582801818847656,46.74644390036613,45.10225282849052,45.374984676764306,8836500
2010-01-07,48.46855545043945,48.55427201984476,45.99058086469537,46.37240543606838,14379100
2010-01-08,48.001014709472656,48.1412776560713,47.42438079350426,47.954262375642635,7146600
2010-01-11,47.43217468261719,48.38284516115871,47.15164877271612,48.2737524123204,5624900
2010-01-12,47.08930587768555,47.6893188993384,46.68410216283346,46.80878000028378,5273800
2010-01-13,47.65816116333008,48.078950089503316,47.02697777407022,47.22958117077062,4950400
2010-01-14,47.969852447509766,48.01660478618339,47.36204529176126,47.55685462971363,3000400
2010-01-15,47.393218994140625,47.96985598492629,46.91788369887571,47.94647684131084,5067300
2010-01-19,47.2607421875,47.5412651111554,46.7230665622466,47.22177794548418,5427100
2010-01-20,46.91008377075195,47.198400725400376,45.60875599737719,47.01138544713544,5374100
2010-01-21,46.13083267211914,47.73605904806123,45.89706215812842,46.987992214269575,5401300
2010-01-22,45.01652908325195,46.107459275090385,44.961982722287715,45.67887945070551,4743300
2010-01-25,45.02433395385742,45.780195148375746,44.80614844309116,45.46849901366282,3489900
2010-01-26,44.96979522705078,45.585393562937874,44.595761585292266,44.83732627942085,4552000
2010-01-27,48.2581787109375,48.37506552519725,45.842543645047364,45.85033471213894,14758500
2010-01-28,48.74908447265625,49.052986531046756,47.77503788932551,48.42959731222594,8862500
2010-01-29,47.221771240234375,49.40363769091638,47.003585784187734,48.936093606104286,8725400
2010-02-01,48.07895278930664,48.203630666371495,47.31530042071503,47.33088552691753,5919900
2010-02-02,48.265953063964844,48.31270836798883,47.53347113624708,47.75945064686518,7862300
2010-02-03,48.21888732910156,48.48563691084138,47.74030693308173,48.26596184100213,5480600
2010-02-04,46.53992462158203,47.99135398737061,46.485005866736905,47.8187534690778,7490700
2010-02-05,45.81813049316406,46.86943700425936,44.82958698646757,46.45361975462148,9675700
2010-02-08,45.41801452636719,46.26533771462958,45.33171275798696,45.76322159988806,4724500
2010-02-09,46.869441986083984,47.41078530205967,45.810288116330085,45.99073588832198,8250900
2010-02-10,46.7125358581543,47.112658708606006,46.24179974796903,46.845909144022144,4237100
2010-02-11,47.53631591796875,47.66184493718404,46.241795475622126,46.87728781887649,4395800
2010-02-12,46.798831939697266,47.01065972175802,46.233949873274454,46.97143246555594,5178300
2010-02-16,48.06196975708008,48.08550850674853,46.99497454563087,47.40294163047579,4268700
2010-02-17,48.501319885253906,48.64254040327187,47.8579832999933,48.163960091416286,4116200
2010-02-18,49.34079360961914,49.434939619938156,48.422863275101356,48.46993478383701,4390300
2010-02-19,49.88998794555664,50.478402799372994,49.152505321829324,49.152505321829324,7371100
2010-02-22,50.1881217956543,50.58040037028258,49.576165184097526,49.88214498629992,6034100
2010-02-23,49.24665069580078,50.3450288661797,48.83868063496933,50.06259081746368,6483800
2010-02-24,49.803680419921875,49.97628392601675,49.14465238819768,49.42709340077199,3400400
2010-02-25,49.32509231567383,49.40354980273516,48.642528638899364,49.2074105743525,5043100
2010-02-26,49.552635192871094,50.117517363772265,49.45064191360319,49.49771642546107,4416000
2010-03-01,50.21165084838867,50.47055610964253,49.4270938038826,49.46632105753838,5265600
2010-03-02,50.556861877441406,51.25511722363536,50.494095872330654,50.71377090452259,4383200
2010-03-03,50.56471252441406,50.972685647664484,50.250894412002125,50.66670879807508,4289400
2010-03-04,51.4277229309082,51.62386221594493,50.8785293413878,51.066821379028184,7718700
2010-03-05,53.29497146606445,53.38127323794137,51.80431157128627,51.82784732985335,8505600
2010-03-08,52.75362014770508,53.35773249440403,52.667318383890944,53.35773249440403,5075600
2010-03-09,53.185115814208984,53.61661854087403,52.83990884432139,53.012512329265185,7655900
2010-03-10,54.92684555053711,55.29558835399954,53.37341982196461,53.4597215838684,10616500
2010-03-11,54.97390365600586,55.25634462868695,54.252112719462765,54.9817509012732,7289500
2010-03-12,54.785621643066406,55.30342619678418,54.33057710582974,55.29558493578368,5302100
2010-03-15,54.44827651977539,54.73855888301251,53.757862281380014,54.42474075904774,7709000
2010-03-16,53.91476058959961,54.38549361509057,53.58524807032546,54.322727615506395,7494400
2010-03-17,54.432559967041016,54.51886171187248,53.57739575004958,54.110894724601124,6004300
2010-03-18,55.601558685302734,55.648630191523125,54.28350263987577,54.409028651695195,7433700
2010-03-19,55.48387908935547,57.508037844639084,55.48387908935547,55.48387908935547,17722500
2010-03-22,56.417518615722656,56.99024209577351,56.10369449691675,56.22137928968112,9013600
2010-03-23,56.62935256958008,56.982401000301884,56.10370055559059,56.91179370843667,4985400
2010-03-24,56.73916244506836,57.42957045562688,56.315500943466,56.817616948544,7700000
2010-03-25,56.87253952026367,57.61002507100805,56.48810823742036,57.23343504905264,5431000
2010-03-26,56.950992584228516,57.26481659694745,56.762700570875225,57.00591732322237,4933700
2010-03-29,58.143516540527344,58.47302902577825,57.27265783972528,57.33542383282865,9064200
2010-03-30,57.68851089477539,58.19847445699217,57.03732674587856,57.93172179961937,4381300
2010-03-31,56.96669006347656,57.31973835523444,56.448879517489814,57.20990084287886,5884600
2010-04-01,57.26482009887695,57.672793136069,56.72347977916963,57.46095937060894,4411000
2010-04-05,56.51948547363281,57.31188969825175,55.664315254140256,57.26481220924917,9326300
